"","treatment","database","cohort","cancer_cat","sofa_start","sofa_end","psi","i_ci","s_ci","pvalue","n"
"1","mech_vent","merged","cancer","group_liver_bd_pancreatic","0","4","-0.0539911440025415","-0.230838898871266","0.122856610866183","0.549584586854392","196"
"2","mech_vent","merged","cancer","group_liver_bd_pancreatic","5","100","-0.0355746842293672","-0.116284915972972","0.0451355475142381","0.3876373004312","581"
"3","mech_vent","merged","cancer","group_prostate_breast","0","4","0.159750181420636","-0.00360125552286916","0.323101618364141","0.0552646510788514","275"
"4","mech_vent","merged","cancer","group_prostate_breast","5","100","0.0402576284521664","-0.0604675312731299","0.140982788177463","0.433410547432683","335"
"5","mech_vent","merged","cancer","group_lung_bronchus","0","4","0.137869117415089","0.056002305089458","0.219735929740719","0.000964200910592281","746"
"6","mech_vent","merged","cancer","group_lung_bronchus","5","100","0.0509140400783698","-0.0533080987291637","0.155136178885903","0.338320655201682","508"
"7","vasopressor","merged","cancer","group_liver_bd_pancreatic","0","4","0.0955232873992827","-0.136782096840739","0.327828671639305","0.42027386670613","196"
"8","vasopressor","merged","cancer","group_liver_bd_pancreatic","5","100","0.12867639000323","0.0469442184125098","0.21040856159395","0.00203033810630182","581"
"9","vasopressor","merged","cancer","group_prostate_breast","0","4","0.0480479153134189","-0.0506289133488777","0.146724743975715","0.339897878296263","275"
"10","vasopressor","merged","cancer","group_prostate_breast","5","100","0.0284162160254339","-0.0814468479052256","0.138279279956093","0.612185410823098","335"
"11","vasopressor","merged","cancer","group_lung_bronchus","0","4","0.0279677771612518","-0.0432189444633239","0.0991544987858274","0.44127433132934","746"
"12","vasopressor","merged","cancer","group_lung_bronchus","5","100","0.0310242572351641","-0.0665696541936001","0.128618168663928","0.533240503912817","508"
"13","rrt","merged","cancer","group_liver_bd_pancreatic","0","4","0.773941870971313","0.71249511606967","0.835388625872956","1.48101585498106e-134","196"
"14","rrt","merged","cancer","group_liver_bd_pancreatic","5","100","0.143026633852784","-0.0125664278180198","0.298619695523589","0.0715924328101687","581"
"15","rrt","merged","cancer","group_prostate_breast","0","4","-0.0498358646617382","-0.102579090803286","0.00290736147980983","0.0640317040944438","275"
"16","rrt","merged","cancer","group_prostate_breast","5","100","0.0648476169311437","-0.14742394056048","0.277119174422767","0.549327876819996","335"
"17","rrt","merged","cancer","group_lung_bronchus","0","4","0.00604014683724585","-0.081926631626369","0.0940069253008607","0.892942887983452","746"
"18","rrt","merged","cancer","group_lung_bronchus","5","100","-0.101080589175119","-0.257009826347014","0.0548486479967757","0.203884076072689","508"
